iter	Passed	Remaining
0	0	67
1	1	56
2	1	52
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	45
9	4	44
10	5	43
11	5	43
12	6	42
13	6	42
14	7	41
15	7	40
16	8	40
17	8	39
18	9	38
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	14	34
29	14	33
30	15	33
31	15	32
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	44	3
92	44	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	47	0
99	48	0
